# San Jose Sharks 2026-27 — preseason + regular season (in-window: Sep 20, 2026 - Feb 28, 2027).
# Transcribed 2026-09-14 from the rendered ESPN team schedule pages (times EASTERN as printed):
#   https://www.espn.com/nhl/team/schedule/_/name/sj/san-jose-sharks               (preseason)
#   https://www.espn.com/nhl/team/schedule/_/name/sj/season/2027/seasontype/2      (regular season)
# Cross-checks:
#   - ESPN gameIds kept per row for per-game review: https://www.espn.com/nhl/game/_/gameId/<id>/
#   - Season opener Oct 1 vs FLA 10:00 PM ET matches the ESPN API event 401891823 (2026-10-02T02:00Z).
#   - Oct 1/3/5/8/10/13/15 rows match sportsmediawatch.com Sharks TV schedule exactly.
#   - All 7 back-to-backs so far match the r/SanJoseSharks 2026-27 schedule thread
#     (Nov 27-28, Dec 3-4, Dec 8-9, Dec 28-29, Jan 1-2, Jan 8-9, Jan 13-14).
#   - Radio: 98.5 KFOX (KUFX-FM) flagship "broadcast live and in their entirety, all regular season
#     and Stanley Cup Playoff Sharks contests, as well as SELECT preseason games"
#     (nhl.com/sharks multi-year extension). Regular-season rows block; preseason rows are
#     info-only (which "select" games air is unspecified - flagged).
# Format: phase|date|timeET(HH:MM 24h)|away|home|espnGameId|note
# ET->PT is exactly -3h for every date in this file (both zones shift DST on Nov 1, 2026 together).
PRE|2026-09-20|16:00|SJ|ANA|401879368|preseason; info-only (select games air, unspecified which)
PRE|2026-09-22|22:00|VGK|SJ|401879413|preseason; info-only
PRE|2026-09-24|22:00|ANA|SJ|401879370|preseason; info-only
PRE|2026-09-26|22:00|SJ|VGK|401879414|preseason; info-only
REG|2026-10-01|22:00|FLA|SJ|401891823|season opener, SAP Center; ESPN API 2026-10-02T02:00Z
REG|2026-10-03|22:00|LA|SJ|401892441|SAP Center
REG|2026-10-05|20:00|SJ|DAL|401892448|@ American Airlines Center
REG|2026-10-08|20:00|SJ|STL|401891825|ESPN+
REG|2026-10-10|16:00|EDM|SJ|401892471|Saturday matinee 4 PM ET
REG|2026-10-13|23:00|BOS|SJ|401892503|late 11 PM ET start
REG|2026-10-15|20:00|SJ|NSH|401892513|@ Bridgestone Arena
REG|2026-10-17|19:00|SJ|DET|401892525|@ Little Caesars Arena
REG|2026-10-19|19:30|SJ|TOR|401892537|@ Scotiabank Arena
REG|2026-10-20|19:00|SJ|MTL|401892539|back-to-back (Oct 19-20)
REG|2026-10-22|19:00|SJ|OTT|401892554|@ Canadian Tire Centre
REG|2026-10-24|19:00|SJ|BOS|401892568|@ TD Garden
REG|2026-10-27|22:30|BUF|SJ|401892595|ESPN
